order_id,customer_id,product_id,color_id,quantity,order_date,order_status,shipping_method,payment_method,total_price
ORDTAF43FAFB86,CSTM840A8,ETWSEBD59A,ECLR1108AE,3,2025-02-23,Dikirim,J&T,Mandiri,897000
ORDTAF43FAFB86,CSTM840A8,ETWS449EE0,ECLRAC652C,1,2025-02-23,Dikirim,J&T,Mandiri,140000
ORDTAF43FAFB86,CSTM840A8,ETWS7AB452,ECLRAC652C,2,2025-02-23,Dikirim,J&T,Mandiri,1298000
ORDT71B59755A4,CSTMD8294,ETWS32F890,ECLR739363,3,2024-05-05,Selesai,J&T,BRI,597600
ORDT71B59755A4,CSTMD8294,ETWSF91D41,ECLR739363,1,2024-05-05,Selesai,J&T,BRI,445000
ORDT71B59755A4,CSTMD8294,ETWS16C89D,ECLREC6E8E,2,2024-05-05,Selesai,J&T,BRI,79000
ORDTA6A5B39158,CSTMCCCC3,ETWS79A897,ECLR1108AE,2,2024-05-03,Selesai,J&T,GoPay,226100
ORDTBAC4C9A81D,CSTM05CA1,ETWS891996,ECLR1108AE,2,2024-05-17,Selesai,SiCepat,COD,858000
ORDTBAC4C9A81D,CSTM05CA1,ETWS0FE105,ECLRF96ACE,1,2024-05-17,Selesai,SiCepat,COD,407550
ORDTBAC4C9A81D,CSTM05CA1,ETWSAF3337,ECLR9C1828,1,2024-05-17,Selesai,SiCepat,COD,199000
ORDT899203EA8E,CSTM854AA,ETWS4349CE,ECLRAC652C,1,2024-11-04,Selesai,JNE,BRI,749000
ORDT812FCF70EC,CSTMF8169,ETWS957CDD,ECLRA39C8D,3,2025-01-01,Selesai,SiCepat,BRI,1167000
ORDTDC2231F1F8,CSTM9CC0D,ETWSBEE4A4,ECLR739363,1,2024-08-02,Selesai,J&T,BRI,324350
ORDTDC2231F1F8,CSTM9CC0D,ETWSBB9309,ECLR972714,2,2024-08-02,Selesai,J&T,BRI,418600
ORDTDC2231F1F8,CSTM9CC0D,ETWS48117D,ECLRA39C8D,2,2024-08-02,Selesai,J&T,BRI,1138100
ORDT58DF2FAC53,CSTMCDB51,ETWS093D85,ECLRAC652C,1,2024-06-21,Selesai,J&T,BNI,184500
ORDT4442761208,CSTMA6194,ETWS260C72,ECLRAC652C,3,2024-04-27,Selesai,J&T,Mandiri,897000
ORDT4442761208,CSTMA6194,ETWS429354,ECLR739363,1,2024-04-27,Selesai,J&T,Mandiri,249000
ORDT4442761208,CSTMA6194,ETWS766811,ECLRAC652C,3,2024-04-27,Selesai,J&T,Mandiri,583050
ORDT52BB3B41E9,CSTM1E852,ETWSCDA7C0,ECLR8D3E15,1,2024-09-22,Selesai,J&T,GoPay,249000
ORDT165CE91358,CSTM194C5,ETWSE4F858,ECLR1108AE,3,2024-05-29,Selesai,SiCepat,BNI,816900
ORDT51F7104E44,CSTMB011C,ETWSC58C37,ECLR5E4A65,3,2025-01-25,Selesai,J&T,BNI,1257000
ORDT5BFF8480DE,CSTM5CD56,ETWSD13EF9,ECLRAC652C,2,2024-06-09,Selesai,SiCepat,Mandiri,1458000
ORDT5BFF8480DE,CSTM5CD56,ETWS15E214,ECLR55CFF5,3,2024-06-09,Selesai,SiCepat,Mandiri,681150
ORDT5BFF8480DE,CSTM5CD56,ETWS187C0A,ECLR739363,2,2024-06-09,Selesai,SiCepat,Mandiri,397100
ORDTCE8A1B78FC,CSTMC063D,ETWS4C2B22,ECLRAC652C,1,2025-02-06,Selesai,JNE,GoPay,249500
ORDT82DA06EFDD,CSTM81813,ETWSBEE4A4,ECLR739363,3,2024-12-30,Selesai,J&T,COD,973050
ORDT52E12A7274,CSTME5624,ETWS7A5058,ECLR972714,1,2024-10-29,Selesai,JNE,DANA,445550
ORDT52E12A7274,CSTME5624,ETWSBEE4A4,ECLR739363,1,2024-10-29,Selesai,JNE,DANA,324350
ORDT52E12A7274,CSTME5624,ETWSD13EF9,ECLRAC652C,1,2024-10-29,Selesai,JNE,DANA,729000
ORDTD324BA7B64,CSTM3F87F,ETWSDB546C,ECLREDE5BD,1,2024-11-18,Selesai,JNE,DANA,369550
ORDTD324BA7B64,CSTM3F87F,ETWS69CD07,ECLRF96ACE,1,2024-11-18,Selesai,JNE,DANA,396750
ORDTD324BA7B64,CSTM3F87F,ETWSAAEB9B,ECLRAC652C,1,2024-11-18,Selesai,JNE,DANA,569050
